"Time (s)","Rotation x (rad/s)","Rotation y (rad/s)","Rotation z (rad/s)"
5.668000000E0,-1.752834171E-1,-1.176020265E0,-1.005030394E0
5.691884375E0,3.033382259E-2,-1.152039528E0,-1.073552012E0
5.712571875E0,1.865582466E-1,-1.134813070E0,-1.128739357E0
5.736000000E0,3.151890039E-1,-1.113851666E0,-1.184554935E0
5.759884375E0,3.785619140E-1,-1.094967246E0,-1.214941144E0
5.780000000E0,3.729070425E-1,-1.078508735E0,-1.190419316E0
5.804000000E0,2.727077007E-1,-1.053864717E0,-1.128739357E0
5.827884375E0,7.646287233E-2,-1.027562618E0,-1.083168745E0
5.848000000E0,-1.308822334E-1,-9.958848953E-1,-1.058891296E0
5.872000000E0,-3.533419073E-1,-9.502968788E-1,-1.051822662E0
5.895882812E0,-4.311312437E-1,-8.964534402E-1,-1.059921026E0
5.916000000E0,-3.649832606E-1,-8.477762341E-1,-1.063952684E0
5.940000000E0,-1.992293298E-1,-7.870387435E-1,-1.100185752E0
5.963884375E0,-1.839577034E-2,-7.241545320E-1,-1.150974870E0
5.984000000E0,9.279915690E-2,-6.755296588E-1,-1.181849718E0
6.008000000E0,1.688955128E-1,-6.169390082E-1,-1.185497403E0
6.031884375E0,2.026327252E-1,-5.575628877E-1,-1.130030870E0
6.052000000E0,1.867851317E-1,-5.090252757E-1,-1.047407031E0
6.076000000E0,9.285151958E-2,-4.441863000E-1,-9.299986959E-1
6.099884375E0,-6.876597553E-2,-3.759264648E-1,-8.159239888E-1
6.120000000E0,-2.106437832E-1,-3.114539981E-1,-7.312405705E-1
6.144000000E0,-3.178419173E-1,-2.290395498E-1,-6.567848325E-1
6.167884375E0,-2.975262702E-1,-1.421396136E-1,-6.070778966E-1
6.188000000E0,-1.865931451E-1,-7.112216949E-2,-5.850867033E-1
6.212000000E0,-3.228859045E-3,1.267109066E-2,-5.750336051E-1
6.235884375E0,1.633802652E-1,9.971065819E-2,-5.720142126E-1
6.256000000E0,2.654296756E-1,1.644274741E-1,-5.575628877E-1
6.280000000E0,3.371627033E-1,2.459692508E-1,-5.101946592E-1
6.303884375E0,3.654021323E-1,3.209834993E-1,-4.198912978E-1
6.324000000E0,3.515442312E-1,3.798883557E-1,-3.189414740E-1
6.348000000E0,2.830924094E-1,4.434881508E-1,-1.880592257E-1
6.371884375E0,1.517563760E-1,5.064945221E-1,-6.312856078E-2
6.392000000E0,2.638937905E-2,5.578944683E-1,3.249803185E-2
6.412526562E0,-6.832963973E-2,6.064844728E-1,1.133765876E-1
6.435884375E0,-1.014908925E-1,6.580414772E-1,1.929636002E-1
6.460000000E0,-1.960004680E-2,7.108551264E-1,2.760238349E-1
6.484000000E0,1.362404078E-1,7.571587563E-1,3.408628106E-1
6.507884375E0,2.909114659E-1,7.996051311E-1,3.774972558E-1
6.528000000E0,3.688229620E-1,8.282285333E-1,4.043578804E-1
6.552000000E0,3.946189284E-1,8.572359085E-1,4.428772926E-1
6.575884375E0,3.688229620E-1,8.781449795E-1,5.001415610E-1
6.596000000E0,3.174230158E-1,8.909032941E-1,5.830621123E-1
6.620000000E0,2.215870023E-1,9.017418027E-1,6.973637342E-1
6.643884375E0,8.379326016E-2,9.057560563E-1,7.993084192E-1
6.664000000E0,-5.368632823E-2,9.077631831E-1,8.712857962E-1
6.688000000E0,-2.013411820E-1,9.030682445E-1,9.278344512E-1
6.711882812E0,-2.646268308E-1,8.935911059E-1,9.626886845E-1
6.732000000E0,-2.367190123E-1,8.846724629E-1,9.973858595E-1
6.756000000E0,-1.350361258E-1,8.727518916E-1,1.021209598E0
6.779884375E0,-2.083923109E-2,8.624020815E-1,1.020668507E0
6.800000000E0,3.844960406E-2,8.581085801E-1,1.023496032E0
6.824000000E0,4.366813600E-2,8.526806235E-1,1.019237399E0
6.847884375E0,-6.108652335E-3,8.418071866E-1,1.035399079E0
6.868000000E0,-8.684758097E-2,8.327664137E-1,1.069991589E0
6.892000000E0,-2.241875380E-1,8.106006980E-1,1.087322712E0
6.915884375E0,-3.903079927E-1,7.825707197E-1,1.065401316E0
6.936000000E0,-5.280144811E-1,7.508231997E-1,1.034945369E0
6.960000000E0,-6.297322512E-1,7.118150592E-1,9.887464643E-1
6.983885937E0,-6.164153814E-1,6.644468307E-1,9.625665545E-1
7.004000000E0,-5.258502364E-1,6.246010065E-1,9.599660039E-1
7.028000000E0,-3.811275363E-1,5.789082646E-1,9.490925670E-1
